"Desease";"Año";"Resultado";"Mensaje"
"Bajo Peso Al Nacer";"2020";"Success";"Success Bajo Peso Al Nacer 2020 : 28  rows, 5  columns"
"Bajo Peso Al Nacer";"2021";"Success";"Success Bajo Peso Al Nacer 2021 : 28  rows, 5  columns"
"Bajo Peso Al Nacer";"2022";"Success";"Success Bajo Peso Al Nacer 2022 : 1  rows, 5  columns"
"Cáncer De La Mama Y Cuello Uterino";"2016";"Success";"Success Cáncer De La Mama Y Cuello Uterino 2016 : 53  rows, 5  columns"
"Cáncer De La Mama Y Cuello Uterino";"2017";"Success";"Success Cáncer De La Mama Y Cuello Uterino 2017 : 61  rows, 5  columns"
"Cáncer De La Mama Y Cuello Uterino";"2018";"Success";"Success Cáncer De La Mama Y Cuello Uterino 2018 : 70  rows, 5  columns"
"Cáncer De La Mama Y Cuello Uterino";"2019";"Success";"Success Cáncer De La Mama Y Cuello Uterino 2019 : 67  rows, 5  columns"
"Cáncer De La Mama Y Cuello Uterino";"2020";"Success";"Success Cáncer De La Mama Y Cuello Uterino 2020 : 66  rows, 5  columns"
"Cáncer De La Mama Y Cuello Uterino";"2021";"Success";"Success Cáncer De La Mama Y Cuello Uterino 2021 : 66  rows, 5  columns"
"Cáncer Infantil";"2014";"Success";"Success Cáncer Infantil 2014 : 103  rows, 5  columns"
"Cáncer Infantil";"2015";"Success";"Success Cáncer Infantil 2015 : 104  rows, 5  columns"
"Cáncer Infantil";"2016";"Success";"Success Cáncer Infantil 2016 : 105  rows, 5  columns"
"Cáncer Infantil";"2017";"Success";"Success Cáncer Infantil 2017 : 104  rows, 5  columns"
"Cáncer Infantil";"2018";"Success";"Success Cáncer Infantil 2018 : 104  rows, 5  columns"
"Cáncer Infantil";"2019";"Success";"Success Cáncer Infantil 2019 : 103  rows, 5  columns"
"Cáncer Infantil";"2020";"Success";"Success Cáncer Infantil 2020 : 107  rows, 5  columns"
"Cáncer Infantil";"2021";"Success";"Success Cáncer Infantil 2021 : 104  rows, 5  columns"
"Cáncer Infantil";"2022";"Success";"Success Cáncer Infantil 2022 : 105  rows, 5  columns"
"Chagas";"2012";"Success";"Success Chagas 2012 : 103  rows, 5  columns"
"Chagas";"2013";"Success";"Success Chagas 2013 : 102  rows, 5  columns"
"Chagas";"2014";"Success";"Success Chagas 2014 : 99  rows, 5  columns"
"Chagas";"2015";"Success";"Success Chagas 2015 : 99  rows, 5  columns"
"Chagas";"2016";"Success";"Success Chagas 2016 : 94  rows, 5  columns"
"Chagas";"2017";"Success";"Success Chagas 2017 : 92  rows, 5  columns"
"Chagas";"2018";"Success";"Success Chagas 2018 : 68  rows, 5  columns"
"Chagas";"2019";"Success";"Success Chagas 2019 : 79  rows, 5  columns"
"Chagas";"2020";"Success";"Success Chagas 2020 : 49  rows, 5  columns"
"Chagas";"2021";"Success";"Success Chagas 2021 : 76  rows, 5  columns"
"Chagas";"2022";"Success";"Success Chagas 2022 : 91  rows, 5  columns"
"Chikunguya";"2014";"Success";"Success Chikunguya 2014 : 91  rows, 5  columns"
"Chikunguya";"2015";"Success";"Success Chikunguya 2015 : 91  rows, 5  columns"
"Chikunguya";"2016";"Success";"Success Chikunguya 2016 : 91  rows, 5  columns"
"Chikunguya";"2017";"Success";"Success Chikunguya 2017 : 104  rows, 5  columns"
"Chikunguya";"2018";"Success";"Success Chikunguya 2018 : 103  rows, 5  columns"
"Chikunguya";"2019";"Success";"Success Chikunguya 2019 : 101  rows, 5  columns"
"Chikunguya";"2020";"Success";"Success Chikunguya 2020 : 60  rows, 5  columns"
"Chikunguya";"2021";"Success";"Success Chikunguya 2021 : 38  rows, 5  columns"
"Chikunguya";"2022";"Success";"Success Chikunguya 2022 : 51  rows, 5  columns"
"Dengue";"2007";"Success";"Success Dengue 2007 : 51  rows, 5  columns"
"Dengue";"2008";"Success";"Success Dengue 2008 : 51  rows, 5  columns"
"Dengue";"2009";"Success";"Success Dengue 2009 : 51  rows, 5  columns"
"Dengue";"2010";"Success";"Success Dengue 2010 : 51  rows, 5  columns"
"Dengue";"2011";"Success";"Success Dengue 2011 : 51  rows, 5  columns"
"Dengue";"2012";"Success";"Success Dengue 2012 : 51  rows, 5  columns"
"Dengue";"2013";"Success";"Success Dengue 2013 : 51  rows, 5  columns"
"Dengue";"2014";"Success";"Success Dengue 2014 : 51  rows, 5  columns"
"Dengue";"2015";"Success";"Success Dengue 2015 : 51  rows, 5  columns"
"Dengue";"2016";"Success";"Success Dengue 2016 : 51  rows, 5  columns"
"Dengue";"2017";"Success";"Success Dengue 2017 : 211  rows, 5  columns"
"Dengue";"2018";"Success";"Success Dengue 2018 : 251  rows, 5  columns"
"Dengue";"2019";"Success";"Success Dengue 2019 : 251  rows, 5  columns"
"Dengue";"2020";"Success";"Success Dengue 2020 : 263  rows, 5  columns"
"Dengue";"2021";"Success";"Success Dengue 2021 : 259  rows, 5  columns"
"Dengue";"2022";"Success";"Success Dengue 2022 : 259  rows, 5  columns"
"Dengue Grave";"2007";"Success";"Success Dengue Grave 2007 : 259  rows, 5  columns"
"Dengue Grave";"2011";"Success";"Success Dengue Grave 2011 : 104  rows, 5  columns"
"Dengue Grave";"2012";"Success";"Success Dengue Grave 2012 : 104  rows, 5  columns"
"Dengue Grave";"2013";"Success";"Success Dengue Grave 2013 : 105  rows, 5  columns"
"Dengue Grave";"2014";"Success";"Success Dengue Grave 2014 : 105  rows, 5  columns"
"Dengue Grave";"2015";"Success";"Success Dengue Grave 2015 : 104  rows, 5  columns"
"Dengue Grave";"2016";"Success";"Success Dengue Grave 2016 : 103  rows, 5  columns"
"Dengue Grave";"2017";"Success";"Success Dengue Grave 2017 : 88  rows, 5  columns"
"Dengue Grave";"2018";"Success";"Success Dengue Grave 2018 : 101  rows, 5  columns"
"Dengue Grave";"2019";"Success";"Success Dengue Grave 2019 : 104  rows, 5  columns"
"Dengue Grave";"2020";"Success";"Success Dengue Grave 2020 : 105  rows, 5  columns"
"Dengue Grave";"2021";"Success";"Success Dengue Grave 2021 : 104  rows, 5  columns"
"Dengue Grave";"2022";"Success";"Success Dengue Grave 2022 : 104  rows, 5  columns"
"Evento Adverso Grave Posterior A La Vacunación";"2009";"Success";"Success Evento Adverso Grave Posterior A La Vacunación 2009 : 97  rows, 5  columns"
"Evento Adverso Grave Posterior A La Vacunación";"2010";"Success";"Success Evento Adverso Grave Posterior A La Vacunación 2010 : 104  rows, 5  columns"
"Evento Adverso Grave Posterior A La Vacunación";"2011";"Success";"Success Evento Adverso Grave Posterior A La Vacunación 2011 : 105  rows, 5  columns"
"Evento Adverso Grave Posterior A La Vacunación";"2012";"Success";"Success Evento Adverso Grave Posterior A La Vacunación 2012 : 104  rows, 5  columns"
"Evento Adverso Grave Posterior A La Vacunación";"2013";"Success";"Success Evento Adverso Grave Posterior A La Vacunación 2013 : 103  rows, 5  columns"
"Evento Adverso Grave Posterior A La Vacunación";"2014";"Success";"Success Evento Adverso Grave Posterior A La Vacunación 2014 : 105  rows, 5  columns"
"Evento Adverso Grave Posterior A La Vacunación";"2015";"Success";"Success Evento Adverso Grave Posterior A La Vacunación 2015 : 102  rows, 5  columns"
"Evento Adverso Grave Posterior A La Vacunación";"2016";"Success";"Success Evento Adverso Grave Posterior A La Vacunación 2016 : 103  rows, 5  columns"
"Evento Adverso Grave Posterior A La Vacunación";"2017";"Success";"Success Evento Adverso Grave Posterior A La Vacunación 2017 : 104  rows, 5  columns"
"Evento Adverso Grave Posterior A La Vacunación";"2018";"Success";"Success Evento Adverso Grave Posterior A La Vacunación 2018 : 102  rows, 5  columns"
"Evento Adverso Grave Posterior A La Vacunación";"2019";"Success";"Success Evento Adverso Grave Posterior A La Vacunación 2019 : 102  rows, 5  columns"
"Evento Adverso Grave Posterior A La Vacunación";"2020";"Success";"Success Evento Adverso Grave Posterior A La Vacunación 2020 : 97  rows, 5  columns"
"Evento Adverso Grave Posterior A La Vacunación";"2021";"Success";"Success Evento Adverso Grave Posterior A La Vacunación 2021 : 101  rows, 5  columns"
"Evento Adverso Grave Posterior A La Vacunación";"2022";"Success";"Success Evento Adverso Grave Posterior A La Vacunación 2022 : 92  rows, 5  columns"
"Exposición A Flúor";"2012";"Success";"Success Exposición A Flúor 2012 : 1  rows, 5  columns"
"Exposición A Flúor";"2013";"Success";"Success Exposición A Flúor 2013 : 2  rows, 5  columns"
"Exposición A Flúor";"2014";"Success";"Success Exposición A Flúor 2014 : 3  rows, 5  columns"
"Exposición A Flúor";"2015";"Success";"Success Exposición A Flúor 2015 : 5  rows, 5  columns"
"Exposición A Flúor";"2016";"Success";"Success Exposición A Flúor 2016 : 5  rows, 5  columns"
"Exposición A Flúor";"2017";"Success";"Success Exposición A Flúor 2017 : 1  rows, 5  columns"
"Exposición A Flúor";"2018";"Success";"Success Exposición A Flúor 2018 : 1  rows, 5  columns"
"Exposición A Flúor";"2019";"Success";"Success Exposición A Flúor 2019 : 1  rows, 5  columns"
"Fiebre Amarilla";"2009";"Success";"Success Fiebre Amarilla 2009 : 3  rows, 5  columns"
"Fiebre Amarilla";"2013";"Success";"Success Fiebre Amarilla 2013 : 1  rows, 5  columns"
"Fiebre Amarilla";"2016";"Success";"Success Fiebre Amarilla 2016 : 6  rows, 5  columns"
"Fiebre Amarilla";"2018";"Success";"Success Fiebre Amarilla 2018 : 1  rows, 5  columns"
"Fiebre Tifoidea Y Paratifoidea";"2009";"Success";"Success Fiebre Tifoidea Y Paratifoidea 2009 : 56  rows, 5  columns"
"Fiebre Tifoidea Y Paratifoidea";"2010";"Success";"Success Fiebre Tifoidea Y Paratifoidea 2010 : 50  rows, 5  columns"
"Fiebre Tifoidea Y Paratifoidea";"2011";"Success";"Success Fiebre Tifoidea Y Paratifoidea 2011 : 58  rows, 5  columns"
"Fiebre Tifoidea Y Paratifoidea";"2012";"Success";"Success Fiebre Tifoidea Y Paratifoidea 2012 : 54  rows, 5  columns"
"Fiebre Tifoidea Y Paratifoidea";"2013";"Success";"Success Fiebre Tifoidea Y Paratifoidea 2013 : 56  rows, 5  columns"
"Fiebre Tifoidea Y Paratifoidea";"2014";"Success";"Success Fiebre Tifoidea Y Paratifoidea 2014 : 43  rows, 5  columns"
"Fiebre Tifoidea Y Paratifoidea";"2015";"Success";"Success Fiebre Tifoidea Y Paratifoidea 2015 : 86  rows, 5  columns"
"Fiebre Tifoidea Y Paratifoidea";"2016";"Success";"Success Fiebre Tifoidea Y Paratifoidea 2016 : 89  rows, 5  columns"
"Fiebre Tifoidea Y Paratifoidea";"2017";"Success";"Success Fiebre Tifoidea Y Paratifoidea 2017 : 67  rows, 5  columns"
"Fiebre Tifoidea Y Paratifoidea";"2018";"Success";"Success Fiebre Tifoidea Y Paratifoidea 2018 : 73  rows, 5  columns"
"Fiebre Tifoidea Y Paratifoidea";"2019";"Success";"Success Fiebre Tifoidea Y Paratifoidea 2019 : 70  rows, 5  columns"
"Fiebre Tifoidea Y Paratifoidea";"2020";"Success";"Success Fiebre Tifoidea Y Paratifoidea 2020 : 39  rows, 5  columns"
"Fiebre Tifoidea Y Paratifoidea";"2021";"Success";"Success Fiebre Tifoidea Y Paratifoidea 2021 : 46  rows, 5  columns"
"Fiebre Tifoidea Y Paratifoidea";"2022";"Success";"Success Fiebre Tifoidea Y Paratifoidea 2022 : 43  rows, 5  columns"
"Hepatitis A";"2007";"Success";"Success Hepatitis A 2007 : 43  rows, 5  columns"
"Hepatitis A";"2008";"Success";"Success Hepatitis A 2008 : 43  rows, 5  columns"
"Hepatitis A";"2009";"Success";"Success Hepatitis A 2009 : 43  rows, 5  columns"
"Hepatitis A";"2011";"Success";"Success Hepatitis A 2011 : 43  rows, 5  columns"
"Hepatitis A";"2012";"Success";"Success Hepatitis A 2012 : 43  rows, 5  columns"
"Hepatitis A";"2014";"Success";"Success Hepatitis A 2014 : 293  rows, 5  columns"
"Hepatitis A";"2015";"Success";"Success Hepatitis A 2015 : 293  rows, 5  columns"
"Hepatitis A";"2016";"Success";"Success Hepatitis A 2016 : 305  rows, 5  columns"
"Hepatitis A";"2017";"Success";"Success Hepatitis A 2017 : 308  rows, 5  columns"
"Hepatitis A";"2018";"Success";"Success Hepatitis A 2018 : 308  rows, 5  columns"
"Hepatitis A";"2019";"Success";"Success Hepatitis A 2019 : 312  rows, 5  columns"
"Hepatitis A";"2020";"Success";"Success Hepatitis A 2020 : 315  rows, 5  columns"
"Hepatitis A";"2021";"Success";"Success Hepatitis A 2021 : 305  rows, 5  columns"
"Hepatitis A";"2022";"Success";"Success Hepatitis A 2022 : 311  rows, 5  columns"
"Hepatitis B, C Y Coinfección Hepatitis B Y Delta";"2009";"Success";"Success Hepatitis B, C Y Coinfección Hepatitis B Y Delta 2009 : 1  rows, 5  columns"
"Hepatitis B, C Y Coinfección Hepatitis B Y Delta";"2010";"Success";"Success Hepatitis B, C Y Coinfección Hepatitis B Y Delta 2010 : 105  rows, 5  columns"
"Hepatitis B, C Y Coinfección Hepatitis B Y Delta";"2011";"Success";"Success Hepatitis B, C Y Coinfección Hepatitis B Y Delta 2011 : 105  rows, 5  columns"
"Hepatitis B, C Y Coinfección Hepatitis B Y Delta";"2012";"Success";"Success Hepatitis B, C Y Coinfección Hepatitis B Y Delta 2012 : 105  rows, 5  columns"
"Hepatitis B, C Y Coinfección Hepatitis B Y Delta";"2013";"Success";"Success Hepatitis B, C Y Coinfección Hepatitis B Y Delta 2013 : 105  rows, 5  columns"
"Hepatitis B, C Y Coinfección Hepatitis B Y Delta";"2014";"Success";"Success Hepatitis B, C Y Coinfección Hepatitis B Y Delta 2014 : 107  rows, 5  columns"
"Hepatitis B, C Y Coinfección Hepatitis B Y Delta";"2015";"Success";"Success Hepatitis B, C Y Coinfección Hepatitis B Y Delta 2015 : 105  rows, 5  columns"
"Hepatitis B, C Y Coinfección Hepatitis B Y Delta";"2016";"Success";"Success Hepatitis B, C Y Coinfección Hepatitis B Y Delta 2016 : 105  rows, 5  columns"
"Hepatitis B, C Y Coinfección Hepatitis B Y Delta";"2017";"Success";"Success Hepatitis B, C Y Coinfección Hepatitis B Y Delta 2017 : 105  rows, 5  columns"
"Hepatitis B, C Y Coinfección Hepatitis B Y Delta";"2018";"Success";"Success Hepatitis B, C Y Coinfección Hepatitis B Y Delta 2018 : 105  rows, 5  columns"
"Hepatitis B, C Y Coinfección Hepatitis B Y Delta";"2019";"Success";"Success Hepatitis B, C Y Coinfección Hepatitis B Y Delta 2019 : 105  rows, 5  columns"
"Hepatitis B, C Y Coinfección Hepatitis B Y Delta";"2020";"Success";"Success Hepatitis B, C Y Coinfección Hepatitis B Y Delta 2020 : 106  rows, 5  columns"
"Hepatitis B, C Y Coinfección Hepatitis B Y Delta";"2021";"Success";"Success Hepatitis B, C Y Coinfección Hepatitis B Y Delta 2021 : 105  rows, 5  columns"
"Hepatitis B, C Y Coinfección Hepatitis B Y Delta";"2022";"Success";"Success Hepatitis B, C Y Coinfección Hepatitis B Y Delta 2022 : 105  rows, 5  columns"
"Hepatitis C";"2014";"Success";"Success Hepatitis C 2014 : 293  rows, 5  columns"
"Hepatitis C";"2015";"Success";"Success Hepatitis C 2015 : 293  rows, 5  columns"
"Hepatitis C";"2016";"Success";"Success Hepatitis C 2016 : 305  rows, 5  columns"
"Hepatitis C";"2017";"Success";"Success Hepatitis C 2017 : 308  rows, 5  columns"
"Hepatitis C";"2018";"Success";"Success Hepatitis C 2018 : 308  rows, 5  columns"
"Hepatitis C";"2019";"Success";"Success Hepatitis C 2019 : 312  rows, 5  columns"
"Hepatitis C";"2020";"Success";"Success Hepatitis C 2020 : 315  rows, 5  columns"
"Hepatitis C";"2021";"Success";"Success Hepatitis C 2021 : 305  rows, 5  columns"
"Hepatitis C";"2022";"Success";"Success Hepatitis C 2022 : 311  rows, 5  columns"
"Hipotiroidismo Congénito";"2009";"Success";"Success Hipotiroidismo Congénito 2009 : 57  rows, 5  columns"
"Hipotiroidismo Congénito";"2010";"Success";"Success Hipotiroidismo Congénito 2010 : 76  rows, 5  columns"
"Hipotiroidismo Congénito";"2011";"Success";"Success Hipotiroidismo Congénito 2011 : 90  rows, 5  columns"
"Hipotiroidismo Congénito";"2012";"Success";"Success Hipotiroidismo Congénito 2012 : 103  rows, 5  columns"
"Hipotiroidismo Congénito";"2013";"Success";"Success Hipotiroidismo Congénito 2013 : 100  rows, 5  columns"
"Hipotiroidismo Congénito";"2014";"Success";"Success Hipotiroidismo Congénito 2014 : 105  rows, 5  columns"
"Hipotiroidismo Congénito";"2015";"Success";"Success Hipotiroidismo Congénito 2015 : 105  rows, 5  columns"
"Hipotiroidismo Congénito";"2016";"Success";"Success Hipotiroidismo Congénito 2016 : 104  rows, 5  columns"
"Hipotiroidismo Congénito";"2017";"Success";"Success Hipotiroidismo Congénito 2017 : 98  rows, 5  columns"
"Hipotiroidismo Congénito";"2018";"Success";"Success Hipotiroidismo Congénito 2018 : 97  rows, 5  columns"
"Hipotiroidismo Congénito";"2019";"Success";"Success Hipotiroidismo Congénito 2019 : 99  rows, 5  columns"
"Hipotiroidismo Congénito";"2020";"Success";"Success Hipotiroidismo Congénito 2020 : 104  rows, 5  columns"
"Hipotiroidismo Congénito";"2021";"Success";"Success Hipotiroidismo Congénito 2021 : 96  rows, 5  columns"
"Hipotiroidismo Congénito";"2022";"Success";"Success Hipotiroidismo Congénito 2022 : 101  rows, 5  columns"
"Infección Respiratoria Aguda Grave Irag Inusitada";"2009";"Success";"Success Infección Respiratoria Aguda Grave Irag Inusitada 2009 : 56  rows, 5  columns"
"Infección Respiratoria Aguda Grave Irag Inusitada";"2010";"Success";"Success Infección Respiratoria Aguda Grave Irag Inusitada 2010 : 17  rows, 5  columns"
"Infección Respiratoria Aguda Grave Irag Inusitada";"2011";"Success";"Success Infección Respiratoria Aguda Grave Irag Inusitada 2011 : 105  rows, 5  columns"
"Infección Respiratoria Aguda Grave Irag Inusitada";"2012";"Success";"Success Infección Respiratoria Aguda Grave Irag Inusitada 2012 : 105  rows, 5  columns"
"Infección Respiratoria Aguda Grave Irag Inusitada";"2013";"Success";"Success Infección Respiratoria Aguda Grave Irag Inusitada 2013 : 104  rows, 5  columns"
"Infección Respiratoria Aguda Grave Irag Inusitada";"2014";"Success";"Success Infección Respiratoria Aguda Grave Irag Inusitada 2014 : 105  rows, 5  columns"
"Infección Respiratoria Aguda Grave Irag Inusitada";"2015";"Success";"Success Infección Respiratoria Aguda Grave Irag Inusitada 2015 : 105  rows, 5  columns"
"Infección Respiratoria Aguda Grave Irag Inusitada";"2016";"Success";"Success Infección Respiratoria Aguda Grave Irag Inusitada 2016 : 104  rows, 5  columns"
"Infección Respiratoria Aguda Grave Irag Inusitada";"2017";"Success";"Success Infección Respiratoria Aguda Grave Irag Inusitada 2017 : 104  rows, 5  columns"
"Infección Respiratoria Aguda Grave Irag Inusitada";"2018";"Success";"Success Infección Respiratoria Aguda Grave Irag Inusitada 2018 : 104  rows, 5  columns"
"Infección Respiratoria Aguda Grave Irag Inusitada";"2019";"Success";"Success Infección Respiratoria Aguda Grave Irag Inusitada 2019 : 104  rows, 5  columns"
"Infección Respiratoria Aguda Grave Irag Inusitada";"2020";"Success";"Success Infección Respiratoria Aguda Grave Irag Inusitada 2020 : 106  rows, 5  columns"
"Infección Respiratoria Aguda Grave Irag Inusitada";"2021";"Success";"Success Infección Respiratoria Aguda Grave Irag Inusitada 2021 : 98  rows, 5  columns"
"Infección Respiratoria Aguda Grave Irag Inusitada";"2022";"Success";"Success Infección Respiratoria Aguda Grave Irag Inusitada 2022 : 98  rows, 5  columns"
"Intoxicación Por Gases";"2010";"Success";"Success Intoxicación Por Gases 2010 : 57  rows, 5  columns"
"Intoxicación Por Gases";"2011";"Success";"Success Intoxicación Por Gases 2011 : 97  rows, 5  columns"
"Intoxicación Por Gases";"2012";"Success";"Success Intoxicación Por Gases 2012 : 99  rows, 5  columns"
"Intoxicación Por Gases";"2013";"Success";"Success Intoxicación Por Gases 2013 : 102  rows, 5  columns"
"Intoxicación Por Gases";"2014";"Success";"Success Intoxicación Por Gases 2014 : 103  rows, 5  columns"
"Intoxicación Por Gases";"2015";"Success";"Success Intoxicación Por Gases 2015 : 103  rows, 5  columns"
"Intoxicación Por Gases";"2016";"Success";"Success Intoxicación Por Gases 2016 : 101  rows, 5  columns"
"Intoxicación Por Gases";"2017";"Success";"Success Intoxicación Por Gases 2017 : 104  rows, 5  columns"
"Intoxicación Por Gases";"2018";"Success";"Success Intoxicación Por Gases 2018 : 104  rows, 5  columns"
"Intoxicación Por Gases";"2019";"Success";"Success Intoxicación Por Gases 2019 : 105  rows, 5  columns"
"Intoxicación Por Gases";"2020";"Success";"Success Intoxicación Por Gases 2020 : 100  rows, 5  columns"
"Intoxicación Por Gases";"2021";"Success";"Success Intoxicación Por Gases 2021 : 102  rows, 5  columns"
"Intoxicación Por Gases";"2022";"Success";"Success Intoxicación Por Gases 2022 : 104  rows, 5  columns"
"Intoxicación Por Medicamentos";"2009";"Success";"Success Intoxicación Por Medicamentos 2009 : 104  rows, 5  columns"
"Intoxicación Por Medicamentos";"2010";"Success";"Success Intoxicación Por Medicamentos 2010 : 104  rows, 5  columns"
"Intoxicación Por Medicamentos";"2011";"Success";"Success Intoxicación Por Medicamentos 2011 : 107  rows, 5  columns"
"Intoxicación Por Medicamentos";"2012";"Success";"Success Intoxicación Por Medicamentos 2012 : 104  rows, 5  columns"
"Intoxicación Por Medicamentos";"2013";"Success";"Success Intoxicación Por Medicamentos 2013 : 105  rows, 5  columns"
"Intoxicación Por Medicamentos";"2014";"Success";"Success Intoxicación Por Medicamentos 2014 : 105  rows, 5  columns"
"Intoxicación Por Medicamentos";"2015";"Success";"Success Intoxicación Por Medicamentos 2015 : 105  rows, 5  columns"
"Intoxicación Por Medicamentos";"2016";"Success";"Success Intoxicación Por Medicamentos 2016 : 104  rows, 5  columns"
"Intoxicación Por Medicamentos";"2017";"Success";"Success Intoxicación Por Medicamentos 2017 : 104  rows, 5  columns"
"Intoxicación Por Medicamentos";"2018";"Success";"Success Intoxicación Por Medicamentos 2018 : 104  rows, 5  columns"
"Intoxicación Por Medicamentos";"2019";"Success";"Success Intoxicación Por Medicamentos 2019 : 104  rows, 5  columns"
"Intoxicación Por Medicamentos";"2020";"Success";"Success Intoxicación Por Medicamentos 2020 : 107  rows, 5  columns"
