"Desease";"Año";"Resultado";"Funcion donde se obtuve el resultado";"Mensaje"
"Anomalías Congénitas";"2012";"Success";"agrupar_sex";"Success Anomalías Congénitas 2012 : 4  rows, 4  columns"
"Anomalías Congénitas";"2013";"Success";"agrupar_sex";"Success Anomalías Congénitas 2013 : 4  rows, 4  columns"
"Anomalías Congénitas";"2014";"Success";"agrupar_sex";"Success Anomalías Congénitas 2014 : 4  rows, 4  columns"
"Anomalías Congénitas";"2015";"Success";"agrupar_sex";"Success Anomalías Congénitas 2015 : 4  rows, 4  columns"
"Anomalías Congénitas";"2016";"Success";"agrupar_sex";"Success Anomalías Congénitas 2016 : 3  rows, 4  columns"
"Anomalías Congénitas";"2017";"Success";"agrupar_sex";"Success Anomalías Congénitas 2017 : 4  rows, 4  columns"
"Anomalías Congénitas";"2018";"Success";"agrupar_sex";"Success Anomalías Congénitas 2018 : 4  rows, 4  columns"
"Anomalías Congénitas";"2019";"Success";"agrupar_sex";"Success Anomalías Congénitas 2019 : 4  rows, 4  columns"
"Anomalías Congénitas";"2020";"Success";"agrupar_sex";"Success Anomalías Congénitas 2020 : 4  rows, 4  columns"
"Anomalías Congénitas";"2021";"Success";"agrupar_sex";"Success Anomalías Congénitas 2021 : 3  rows, 4  columns"
"Anomalías Congénitas";"2022";"Success";"agrupar_sex";"Success Anomalías Congénitas 2022 : 4  rows, 4  columns"
"Bajo Peso Al Nacer";"2012";"Success";"agrupar_sex";"Success Bajo Peso Al Nacer 2012 : 2  rows, 4  columns"
"Bajo Peso Al Nacer";"2013";"Success";"agrupar_sex";"Success Bajo Peso Al Nacer 2013 : 2  rows, 4  columns"
"Bajo Peso Al Nacer";"2014";"Success";"agrupar_sex";"Success Bajo Peso Al Nacer 2014 : 2  rows, 4  columns"
"Bajo Peso Al Nacer";"2015";"Success";"agrupar_sex";"Success Bajo Peso Al Nacer 2015 : 2  rows, 4  columns"
"Bajo Peso Al Nacer";"2016";"Success";"agrupar_sex";"Success Bajo Peso Al Nacer 2016 : 2  rows, 4  columns"
"Bajo Peso Al Nacer";"2017";"Success";"agrupar_sex";"Success Bajo Peso Al Nacer 2017 : 2  rows, 4  columns"
"Bajo Peso Al Nacer";"2018";"Success";"agrupar_sex";"Success Bajo Peso Al Nacer 2018 : 2  rows, 4  columns"
"Bajo Peso Al Nacer";"2019";"Success";"agrupar_sex";"Success Bajo Peso Al Nacer 2019 : 2  rows, 4  columns"
"Bajo Peso Al Nacer";"2020";"Success";"agrupar_sex";"Success Bajo Peso Al Nacer 2020 : 2  rows, 4  columns"
"Bajo Peso Al Nacer";"2021";"Success";"agrupar_sex";"Success Bajo Peso Al Nacer 2021 : 2  rows, 4  columns"
"Bajo Peso Al Nacer";"2022";"Success";"agrupar_sex";"Success Bajo Peso Al Nacer 2022 : 1  rows, 4  columns"
"Cáncer De La Mama Y Cuello Uterino";"2016";"Success";"agrupar_sex";"Success Cáncer De La Mama Y Cuello Uterino 2016 : 2  rows, 4  columns"
"Cáncer De La Mama Y Cuello Uterino";"2017";"Success";"agrupar_sex";"Success Cáncer De La Mama Y Cuello Uterino 2017 : 3  rows, 4  columns"
"Cáncer De La Mama Y Cuello Uterino";"2018";"Success";"agrupar_sex";"Success Cáncer De La Mama Y Cuello Uterino 2018 : 3  rows, 4  columns"
"Cáncer De La Mama Y Cuello Uterino";"2019";"Success";"agrupar_sex";"Success Cáncer De La Mama Y Cuello Uterino 2019 : 3  rows, 4  columns"
"Cáncer De La Mama Y Cuello Uterino";"2020";"Success";"agrupar_sex";"Success Cáncer De La Mama Y Cuello Uterino 2020 : 2  rows, 4  columns"
"Cáncer De La Mama Y Cuello Uterino";"2021";"Success";"agrupar_sex";"Success Cáncer De La Mama Y Cuello Uterino 2021 : 2  rows, 4  columns"
"Cáncer Infantil";"2014";"Success";"agrupar_sex";"Success Cáncer Infantil 2014 : 2  rows, 4  columns"
"Cáncer Infantil";"2015";"Success";"agrupar_sex";"Success Cáncer Infantil 2015 : 3  rows, 4  columns"
"Cáncer Infantil";"2016";"Success";"agrupar_sex";"Success Cáncer Infantil 2016 : 3  rows, 4  columns"
"Cáncer Infantil";"2017";"Success";"agrupar_sex";"Success Cáncer Infantil 2017 : 3  rows, 4  columns"
"Cáncer Infantil";"2018";"Success";"agrupar_sex";"Success Cáncer Infantil 2018 : 3  rows, 4  columns"
"Cáncer Infantil";"2019";"Success";"agrupar_sex";"Success Cáncer Infantil 2019 : 3  rows, 4  columns"
"Cáncer Infantil";"2020";"Success";"agrupar_sex";"Success Cáncer Infantil 2020 : 3  rows, 4  columns"
"Cáncer Infantil";"2021";"Success";"agrupar_sex";"Success Cáncer Infantil 2021 : 3  rows, 4  columns"
"Cáncer Infantil";"2022";"Success";"agrupar_sex";"Success Cáncer Infantil 2022 : 3  rows, 4  columns"
"Chagas";"2012";"Success";"agrupar_sex";"Success Chagas 2012 : 3  rows, 4  columns"
"Chagas";"2013";"Success";"agrupar_sex";"Success Chagas 2013 : 3  rows, 4  columns"
"Chagas";"2014";"Success";"agrupar_sex";"Success Chagas 2014 : 2  rows, 4  columns"
"Chagas";"2015";"Success";"agrupar_sex";"Success Chagas 2015 : 2  rows, 4  columns"
"Chagas";"2016";"Success";"agrupar_sex";"Success Chagas 2016 : 2  rows, 4  columns"
"Chagas";"2017";"Success";"agrupar_sex";"Success Chagas 2017 : 2  rows, 4  columns"
"Chagas";"2018";"Success";"agrupar_sex";"Success Chagas 2018 : 2  rows, 4  columns"
"Chagas";"2019";"Success";"agrupar_sex";"Success Chagas 2019 : 2  rows, 4  columns"
"Chagas";"2020";"Success";"agrupar_sex";"Success Chagas 2020 : 2  rows, 4  columns"
"Chagas";"2021";"Success";"agrupar_sex";"Success Chagas 2021 : 2  rows, 4  columns"
"Chagas";"2022";"Success";"agrupar_sex";"Success Chagas 2022 : 2  rows, 4  columns"
"Chikunguya";"2014";"Success";"agrupar_sex";"Success Chikunguya 2014 : 2  rows, 4  columns"
"Chikunguya";"2015";"Success";"agrupar_sex";"Success Chikunguya 2015 : 2  rows, 4  columns"
"Chikunguya";"2016";"Success";"agrupar_sex";"Success Chikunguya 2016 : 2  rows, 4  columns"
"Chikunguya";"2017";"Success";"agrupar_sex";"Success Chikunguya 2017 : 2  rows, 4  columns"
"Chikunguya";"2018";"Success";"agrupar_sex";"Success Chikunguya 2018 : 2  rows, 4  columns"
"Chikunguya";"2019";"Success";"agrupar_sex";"Success Chikunguya 2019 : 2  rows, 4  columns"
"Chikunguya";"2020";"Success";"agrupar_sex";"Success Chikunguya 2020 : 2  rows, 4  columns"
"Chikunguya";"2021";"Success";"agrupar_sex";"Success Chikunguya 2021 : 2  rows, 4  columns"
"Chikunguya";"2022";"Success";"agrupar_sex";"Success Chikunguya 2022 : 2  rows, 4  columns"
"Dengue";"2007";"Success";"agrupar_sex";"Success Dengue 2007 : 2  rows, 4  columns"
"Dengue";"2008";"Success";"agrupar_sex";"Success Dengue 2008 : 2  rows, 4  columns"
"Dengue";"2009";"Success";"agrupar_sex";"Success Dengue 2009 : 2  rows, 4  columns"
"Dengue";"2010";"Success";"agrupar_sex";"Success Dengue 2010 : 2  rows, 4  columns"
"Dengue";"2011";"Success";"agrupar_sex";"Success Dengue 2011 : 2  rows, 4  columns"
"Dengue";"2012";"Success";"agrupar_sex";"Success Dengue 2012 : 2  rows, 4  columns"
"Dengue";"2013";"Success";"agrupar_sex";"Success Dengue 2013 : 2  rows, 4  columns"
"Dengue";"2014";"Success";"agrupar_sex";"Success Dengue 2014 : 2  rows, 4  columns"
"Dengue";"2015";"Success";"agrupar_sex";"Success Dengue 2015 : 2  rows, 4  columns"
"Dengue";"2016";"Success";"agrupar_sex";"Success Dengue 2016 : 2  rows, 4  columns"
"Dengue";"2017";"Success";"agrupar_sex";"Success Dengue 2017 : 6  rows, 4  columns"
"Dengue";"2018";"Success";"agrupar_sex";"Success Dengue 2018 : 6  rows, 4  columns"
"Dengue";"2019";"Success";"agrupar_sex";"Success Dengue 2019 : 6  rows, 4  columns"
"Dengue";"2020";"Success";"agrupar_sex";"Success Dengue 2020 : 6  rows, 4  columns"
"Dengue";"2021";"Success";"agrupar_sex";"Success Dengue 2021 : 6  rows, 4  columns"
"Dengue";"2022";"Success";"agrupar_sex";"Success Dengue 2022 : 6  rows, 4  columns"
"Dengue Grave";"2007";"Success";"agrupar_sex";"Success Dengue Grave 2007 : 6  rows, 4  columns"
"Dengue Grave";"2008";"Error";"limpiar_data_sivigila";"El parametro data_event no debe estar vacio"
"Dengue Grave";"2009";"Error";"limpiar_data_sivigila";"El parametro data_event no debe estar vacio"
"Dengue Grave";"2010";"Error";"limpiar_data_sivigila";"El parametro data_event no debe estar vacio"
"Dengue Grave";"2011";"Success";"agrupar_sex";"Success Dengue Grave 2011 : 2  rows, 4  columns"
"Dengue Grave";"2012";"Success";"agrupar_sex";"Success Dengue Grave 2012 : 2  rows, 4  columns"
"Dengue Grave";"2013";"Success";"agrupar_sex";"Success Dengue Grave 2013 : 3  rows, 4  columns"
"Dengue Grave";"2014";"Success";"agrupar_sex";"Success Dengue Grave 2014 : 3  rows, 4  columns"
"Dengue Grave";"2015";"Success";"agrupar_sex";"Success Dengue Grave 2015 : 2  rows, 4  columns"
"Dengue Grave";"2016";"Success";"agrupar_sex";"Success Dengue Grave 2016 : 2  rows, 4  columns"
"Dengue Grave";"2017";"Success";"agrupar_sex";"Success Dengue Grave 2017 : 2  rows, 4  columns"
"Dengue Grave";"2018";"Success";"agrupar_sex";"Success Dengue Grave 2018 : 2  rows, 4  columns"
"Dengue Grave";"2019";"Success";"agrupar_sex";"Success Dengue Grave 2019 : 2  rows, 4  columns"
"Dengue Grave";"2020";"Success";"agrupar_sex";"Success Dengue Grave 2020 : 2  rows, 4  columns"
"Dengue Grave";"2021";"Success";"agrupar_sex";"Success Dengue Grave 2021 : 2  rows, 4  columns"
"Dengue Grave";"2022";"Success";"agrupar_sex";"Success Dengue Grave 2022 : 2  rows, 4  columns"
"Esi - Irag (Vigilancia Centinela)";"2008";"Error";"import_data_event";"Error import_data_event Esi - Irag (Vigilancia Centinela) 2008 :  Error in stri_detect_regex(string, pattern, negate = negate, opts_regex = opts(pattern)): Incorrectly nested parentheses in regex pattern. (U_REGEX_MISMATCHED_PAREN, context=`Esi - Irag (Vigilancia Centinela`)
"
"Esi - Irag (Vigilancia Centinela)";"2009";"Error";"import_data_event";"Error import_data_event Esi - Irag (Vigilancia Centinela) 2009 :  Error in stri_detect_regex(string, pattern, negate = negate, opts_regex = opts(pattern)): Incorrectly nested parentheses in regex pattern. (U_REGEX_MISMATCHED_PAREN, context=`Esi - Irag (Vigilancia Centinela`)
"
"Esi - Irag (Vigilancia Centinela)";"2010";"Error";"import_data_event";"Error import_data_event Esi - Irag (Vigilancia Centinela) 2010 :  Error in stri_detect_regex(string, pattern, negate = negate, opts_regex = opts(pattern)): Incorrectly nested parentheses in regex pattern. (U_REGEX_MISMATCHED_PAREN, context=`Esi - Irag (Vigilancia Centinela`)
"
"Esi - Irag (Vigilancia Centinela)";"2011";"Error";"import_data_event";"Error import_data_event Esi - Irag (Vigilancia Centinela) 2011 :  Error in stri_detect_regex(string, pattern, negate = negate, opts_regex = opts(pattern)): Incorrectly nested parentheses in regex pattern. (U_REGEX_MISMATCHED_PAREN, context=`Esi - Irag (Vigilancia Centinela`)
"
"Esi - Irag (Vigilancia Centinela)";"2012";"Error";"import_data_event";"Error import_data_event Esi - Irag (Vigilancia Centinela) 2012 :  Error in stri_detect_regex(string, pattern, negate = negate, opts_regex = opts(pattern)): Incorrectly nested parentheses in regex pattern. (U_REGEX_MISMATCHED_PAREN, context=`Esi - Irag (Vigilancia Centinela`)
"
"Esi - Irag (Vigilancia Centinela)";"2013";"Error";"import_data_event";"Error import_data_event Esi - Irag (Vigilancia Centinela) 2013 :  Error in stri_detect_regex(string, pattern, negate = negate, opts_regex = opts(pattern)): Incorrectly nested parentheses in regex pattern. (U_REGEX_MISMATCHED_PAREN, context=`Esi - Irag (Vigilancia Centinela`)
"
"Esi - Irag (Vigilancia Centinela)";"2014";"Error";"import_data_event";"Error import_data_event Esi - Irag (Vigilancia Centinela) 2014 :  Error in stri_detect_regex(string, pattern, negate = negate, opts_regex = opts(pattern)): Incorrectly nested parentheses in regex pattern. (U_REGEX_MISMATCHED_PAREN, context=`Esi - Irag (Vigilancia Centinela`)
"
"Esi - Irag (Vigilancia Centinela)";"2015";"Error";"import_data_event";"Error import_data_event Esi - Irag (Vigilancia Centinela) 2015 :  Error in stri_detect_regex(string, pattern, negate = negate, opts_regex = opts(pattern)): Incorrectly nested parentheses in regex pattern. (U_REGEX_MISMATCHED_PAREN, context=`Esi - Irag (Vigilancia Centinela`)
"
"Esi - Irag (Vigilancia Centinela)";"2016";"Error";"import_data_event";"Error import_data_event Esi - Irag (Vigilancia Centinela) 2016 :  Error in stri_detect_regex(string, pattern, negate = negate, opts_regex = opts(pattern)): Incorrectly nested parentheses in regex pattern. (U_REGEX_MISMATCHED_PAREN, context=`Esi - Irag (Vigilancia Centinela`)
"
"Esi - Irag (Vigilancia Centinela)";"2017";"Error";"import_data_event";"Error import_data_event Esi - Irag (Vigilancia Centinela) 2017 :  Error in stri_detect_regex(string, pattern, negate = negate, opts_regex = opts(pattern)): Incorrectly nested parentheses in regex pattern. (U_REGEX_MISMATCHED_PAREN, context=`Esi - Irag (Vigilancia Centinela`)
"
"Esi - Irag (Vigilancia Centinela)";"2018";"Error";"import_data_event";"Error import_data_event Esi - Irag (Vigilancia Centinela) 2018 :  Error in stri_detect_regex(string, pattern, negate = negate, opts_regex = opts(pattern)): Incorrectly nested parentheses in regex pattern. (U_REGEX_MISMATCHED_PAREN, context=`Esi - Irag (Vigilancia Centinela`)
"
"Esi - Irag (Vigilancia Centinela)";"2019";"Error";"import_data_event";"Error import_data_event Esi - Irag (Vigilancia Centinela) 2019 :  Error in stri_detect_regex(string, pattern, negate = negate, opts_regex = opts(pattern)): Incorrectly nested parentheses in regex pattern. (U_REGEX_MISMATCHED_PAREN, context=`Esi - Irag (Vigilancia Centinela`)
"
"Esi - Irag (Vigilancia Centinela)";"2020";"Error";"import_data_event";"Error import_data_event Esi - Irag (Vigilancia Centinela) 2020 :  Error in stri_detect_regex(string, pattern, negate = negate, opts_regex = opts(pattern)): Incorrectly nested parentheses in regex pattern. (U_REGEX_MISMATCHED_PAREN, context=`Esi - Irag (Vigilancia Centinela`)
"
"Esi - Irag (Vigilancia Centinela)";"2021";"Error";"import_data_event";"Error import_data_event Esi - Irag (Vigilancia Centinela) 2021 :  Error in stri_detect_regex(string, pattern, negate = negate, opts_regex = opts(pattern)): Incorrectly nested parentheses in regex pattern. (U_REGEX_MISMATCHED_PAREN, context=`Esi - Irag (Vigilancia Centinela`)
"
"Esi - Irag (Vigilancia Centinela)";"2022";"Error";"import_data_event";"Error import_data_event Esi - Irag (Vigilancia Centinela) 2022 :  Error in stri_detect_regex(string, pattern, negate = negate, opts_regex = opts(pattern)): Incorrectly nested parentheses in regex pattern. (U_REGEX_MISMATCHED_PAREN, context=`Esi - Irag (Vigilancia Centinela`)
"
"Evento Adverso Grave Posterior A La Vacunación";"2007";"Error";"limpiar_data_sivigila";"El parametro data_event no debe estar vacio"
"Evento Adverso Grave Posterior A La Vacunación";"2008";"Error";"limpiar_data_sivigila";"El parametro data_event no debe estar vacio"
"Evento Adverso Grave Posterior A La Vacunación";"2009";"Success";"agrupar_sex";"Success Evento Adverso Grave Posterior A La Vacunación 2009 : 2  rows, 4  columns"
"Evento Adverso Grave Posterior A La Vacunación";"2010";"Success";"agrupar_sex";"Success Evento Adverso Grave Posterior A La Vacunación 2010 : 2  rows, 4  columns"
"Evento Adverso Grave Posterior A La Vacunación";"2011";"Success";"agrupar_sex";"Success Evento Adverso Grave Posterior A La Vacunación 2011 : 3  rows, 4  columns"
"Evento Adverso Grave Posterior A La Vacunación";"2012";"Success";"agrupar_sex";"Success Evento Adverso Grave Posterior A La Vacunación 2012 : 2  rows, 4  columns"
"Evento Adverso Grave Posterior A La Vacunación";"2013";"Success";"agrupar_sex";"Success Evento Adverso Grave Posterior A La Vacunación 2013 : 2  rows, 4  columns"
"Evento Adverso Grave Posterior A La Vacunación";"2014";"Success";"agrupar_sex";"Success Evento Adverso Grave Posterior A La Vacunación 2014 : 2  rows, 4  columns"
"Evento Adverso Grave Posterior A La Vacunación";"2015";"Success";"agrupar_sex";"Success Evento Adverso Grave Posterior A La Vacunación 2015 : 2  rows, 4  columns"
"Evento Adverso Grave Posterior A La Vacunación";"2016";"Success";"agrupar_sex";"Success Evento Adverso Grave Posterior A La Vacunación 2016 : 2  rows, 4  columns"
"Evento Adverso Grave Posterior A La Vacunación";"2017";"Success";"agrupar_sex";"Success Evento Adverso Grave Posterior A La Vacunación 2017 : 2  rows, 4  columns"
"Evento Adverso Grave Posterior A La Vacunación";"2018";"Success";"agrupar_sex";"Success Evento Adverso Grave Posterior A La Vacunación 2018 : 2  rows, 4  columns"
"Evento Adverso Grave Posterior A La Vacunación";"2019";"Success";"agrupar_sex";"Success Evento Adverso Grave Posterior A La Vacunación 2019 : 2  rows, 4  columns"
"Evento Adverso Grave Posterior A La Vacunación";"2020";"Success";"agrupar_sex";"Success Evento Adverso Grave Posterior A La Vacunación 2020 : 2  rows, 4  columns"
"Evento Adverso Grave Posterior A La Vacunación";"2021";"Success";"agrupar_sex";"Success Evento Adverso Grave Posterior A La Vacunación 2021 : 2  rows, 4  columns"
"Evento Adverso Grave Posterior A La Vacunación";"2022";"Success";"agrupar_sex";"Success Evento Adverso Grave Posterior A La Vacunación 2022 : 2  rows, 4  columns"
"Exposición A Flúor";"2012";"Success";"agrupar_sex";"Success Exposición A Flúor 2012 : 1  rows, 4  columns"
"Exposición A Flúor";"2013";"Success";"agrupar_sex";"Success Exposición A Flúor 2013 : 2  rows, 4  columns"
"Exposición A Flúor";"2014";"Success";"agrupar_sex";"Success Exposición A Flúor 2014 : 3  rows, 4  columns"
"Exposición A Flúor";"2015";"Success";"agrupar_sex";"Success Exposición A Flúor 2015 : 3  rows, 4  columns"
"Exposición A Flúor";"2016";"Success";"agrupar_sex";"Success Exposición A Flúor 2016 : 3  rows, 4  columns"
"Exposición A Flúor";"2017";"Success";"agrupar_sex";"Success Exposición A Flúor 2017 : 1  rows, 4  columns"
"Exposición A Flúor";"2018";"Success";"agrupar_sex";"Success Exposición A Flúor 2018 : 1  rows, 4  columns"
"Exposición A Flúor";"2019";"Success";"agrupar_sex";"Success Exposición A Flúor 2019 : 1  rows, 4  columns"
"Fiebre Amarilla";"2007";"Error";"limpiar_data_sivigila";"El parametro data_event no debe estar vacio"
"Fiebre Amarilla";"2008";"Error";"limpiar_data_sivigila";"El parametro data_event no debe estar vacio"
"Fiebre Amarilla";"2009";"Success";"agrupar_sex";"Success Fiebre Amarilla 2009 : 2  rows, 4  columns"
"Fiebre Amarilla";"2013";"Success";"agrupar_sex";"Success Fiebre Amarilla 2013 : 1  rows, 4  columns"
"Fiebre Amarilla";"2016";"Success";"agrupar_sex";"Success Fiebre Amarilla 2016 : 1  rows, 4  columns"
"Fiebre Amarilla";"2018";"Success";"agrupar_sex";"Success Fiebre Amarilla 2018 : 1  rows, 4  columns"
"Fiebre Tifoidea Y Paratifoidea";"2007";"Error";"limpiar_data_sivigila";"El parametro data_event no debe estar vacio"
"Fiebre Tifoidea Y Paratifoidea";"2008";"Error";"limpiar_data_sivigila";"El parametro data_event no debe estar vacio"
"Fiebre Tifoidea Y Paratifoidea";"2009";"Success";"agrupar_sex";"Success Fiebre Tifoidea Y Paratifoidea 2009 : 2  rows, 4  columns"
"Fiebre Tifoidea Y Paratifoidea";"2010";"Success";"agrupar_sex";"Success Fiebre Tifoidea Y Paratifoidea 2010 : 2  rows, 4  columns"
"Fiebre Tifoidea Y Paratifoidea";"2011";"Success";"agrupar_sex";"Success Fiebre Tifoidea Y Paratifoidea 2011 : 3  rows, 4  columns"
"Fiebre Tifoidea Y Paratifoidea";"2012";"Success";"agrupar_sex";"Success Fiebre Tifoidea Y Paratifoidea 2012 : 3  rows, 4  columns"
"Fiebre Tifoidea Y Paratifoidea";"2013";"Success";"agrupar_sex";"Success Fiebre Tifoidea Y Paratifoidea 2013 : 2  rows, 4  columns"
"Fiebre Tifoidea Y Paratifoidea";"2014";"Success";"agrupar_sex";"Success Fiebre Tifoidea Y Paratifoidea 2014 : 2  rows, 4  columns"
"Fiebre Tifoidea Y Paratifoidea";"2015";"Success";"agrupar_sex";"Success Fiebre Tifoidea Y Paratifoidea 2015 : 2  rows, 4  columns"
"Fiebre Tifoidea Y Paratifoidea";"2016";"Success";"agrupar_sex";"Success Fiebre Tifoidea Y Paratifoidea 2016 : 2  rows, 4  columns"
"Fiebre Tifoidea Y Paratifoidea";"2017";"Success";"agrupar_sex";"Success Fiebre Tifoidea Y Paratifoidea 2017 : 2  rows, 4  columns"
"Fiebre Tifoidea Y Paratifoidea";"2018";"Success";"agrupar_sex";"Success Fiebre Tifoidea Y Paratifoidea 2018 : 2  rows, 4  columns"
"Fiebre Tifoidea Y Paratifoidea";"2019";"Success";"agrupar_sex";"Success Fiebre Tifoidea Y Paratifoidea 2019 : 2  rows, 4  columns"
"Fiebre Tifoidea Y Paratifoidea";"2020";"Success";"agrupar_sex";"Success Fiebre Tifoidea Y Paratifoidea 2020 : 2  rows, 4  columns"
"Fiebre Tifoidea Y Paratifoidea";"2021";"Success";"agrupar_sex";"Success Fiebre Tifoidea Y Paratifoidea 2021 : 2  rows, 4  columns"
"Fiebre Tifoidea Y Paratifoidea";"2022";"Success";"agrupar_sex";"Success Fiebre Tifoidea Y Paratifoidea 2022 : 2  rows, 4  columns"
"Hepatitis A";"2007";"Success";"agrupar_sex";"Success Hepatitis A 2007 : 2  rows, 4  columns"
"Hepatitis A";"2008";"Success";"agrupar_sex";"Success Hepatitis A 2008 : 2  rows, 4  columns"
"Hepatitis A";"2009";"Success";"agrupar_sex";"Success Hepatitis A 2009 : 2  rows, 4  columns"
"Hepatitis A";"2010";"Error";"import_data_event";"Error import_data_event Hepatitis A 2010 :  [1m[33mError[39m in `httr2::req_perform()`:[22m
[33m![39m HTTP 404 Not Found.
"
"Hepatitis A";"2011";"Success";"agrupar_sex";"Success Hepatitis A 2011 : 2  rows, 4  columns"
"Hepatitis A";"2012";"Success";"agrupar_sex";"Success Hepatitis A 2012 : 2  rows, 4  columns"
"Hepatitis A";"2013";"Error";"import_data_event";"Error import_data_event Hepatitis A 2013 :  [1m[33mError[39m in `httr2::req_perform()`:[22m
[33m![39m HTTP 404 Not Found.
"
"Hepatitis A";"2014";"Success";"agrupar_sex";"Success Hepatitis A 2014 : 6  rows, 4  columns"
"Hepatitis A";"2015";"Success";"agrupar_sex";"Success Hepatitis A 2015 : 6  rows, 4  columns"
"Hepatitis A";"2016";"Success";"agrupar_sex";"Success Hepatitis A 2016 : 6  rows, 4  columns"
