"Desease";"Año";"Resultado";"Mensaje"
"Hepatitis B, C Y Coinfección Hepatitis B Y Delta";2021;"Success";"Success Hepatitis B, C Y Coinfección Hepatitis B Y Delta 2021 : 1083  rows, 4  columns"
"Hepatitis B, C Y Coinfección Hepatitis B Y Delta";2022;"Success";"Success Hepatitis B, C Y Coinfección Hepatitis B Y Delta 2022 : 1295  rows, 4  columns"
"Hepatitis C";2014;"Success";"Success Hepatitis C 2014 : 2001  rows, 4  columns"
"Hepatitis C";2015;"Success";"Success Hepatitis C 2015 : 1853  rows, 4  columns"
"Hepatitis C";2016;"Success";"Success Hepatitis C 2016 : 1738  rows, 4  columns"
"Hepatitis C";2017;"Success";"Success Hepatitis C 2017 : 2174  rows, 4  columns"
"Hepatitis C";2018;"Success";"Success Hepatitis C 2018 : 2462  rows, 4  columns"
"Hepatitis C";2019;"Success";"Success Hepatitis C 2019 : 2353  rows, 4  columns"
"Hepatitis C";2020;"Success";"Success Hepatitis C 2020 : 1898  rows, 4  columns"
"Hepatitis C";2021;"Success";"Success Hepatitis C 2021 : 2228  rows, 4  columns"
"Hepatitis C";2022;"Success";"Success Hepatitis C 2022 : 2691  rows, 4  columns"
"Hipotiroidismo Congénito";2009;"Success";"Success Hipotiroidismo Congénito 2009 : 73  rows, 4  columns"
"Hipotiroidismo Congénito";2010;"Success";"Success Hipotiroidismo Congénito 2010 : 147  rows, 4  columns"
"Hipotiroidismo Congénito";2011;"Success";"Success Hipotiroidismo Congénito 2011 : 199  rows, 4  columns"
"Hipotiroidismo Congénito";2012;"Success";"Success Hipotiroidismo Congénito 2012 : 369  rows, 4  columns"
"Hipotiroidismo Congénito";2013;"Success";"Success Hipotiroidismo Congénito 2013 : 320  rows, 4  columns"
"Hipotiroidismo Congénito";2014;"Success";"Success Hipotiroidismo Congénito 2014 : 345  rows, 4  columns"
"Hipotiroidismo Congénito";2015;"Success";"Success Hipotiroidismo Congénito 2015 : 261  rows, 4  columns"
"Hipotiroidismo Congénito";2016;"Success";"Success Hipotiroidismo Congénito 2016 : 264  rows, 4  columns"
"Hipotiroidismo Congénito";2017;"Success";"Success Hipotiroidismo Congénito 2017 : 174  rows, 4  columns"
"Hipotiroidismo Congénito";2018;"Success";"Success Hipotiroidismo Congénito 2018 : 255  rows, 4  columns"
"Hipotiroidismo Congénito";2019;"Success";"Success Hipotiroidismo Congénito 2019 : 294  rows, 4  columns"
"Hipotiroidismo Congénito";2020;"Success";"Success Hipotiroidismo Congénito 2020 : 282  rows, 4  columns"
"Hipotiroidismo Congénito";2021;"Success";"Success Hipotiroidismo Congénito 2021 : 216  rows, 4  columns"
"Hipotiroidismo Congénito";2022;"Success";"Success Hipotiroidismo Congénito 2022 : 248  rows, 4  columns"
"Infección Respiratoria Aguda Grave Irag Inusitada";2009;"Success";"Success Infección Respiratoria Aguda Grave Irag Inusitada 2009 : 225  rows, 4  columns"
"Infección Respiratoria Aguda Grave Irag Inusitada";2010;"Success";"Success Infección Respiratoria Aguda Grave Irag Inusitada 2010 : 49  rows, 4  columns"
"Infección Respiratoria Aguda Grave Irag Inusitada";2011;"Success";"Success Infección Respiratoria Aguda Grave Irag Inusitada 2011 : 309  rows, 4  columns"
"Infección Respiratoria Aguda Grave Irag Inusitada";2012;"Success";"Success Infección Respiratoria Aguda Grave Irag Inusitada 2012 : 390  rows, 4  columns"
"Infección Respiratoria Aguda Grave Irag Inusitada";2013;"Success";"Success Infección Respiratoria Aguda Grave Irag Inusitada 2013 : 401  rows, 4  columns"
"Infección Respiratoria Aguda Grave Irag Inusitada";2014;"Success";"Success Infección Respiratoria Aguda Grave Irag Inusitada 2014 : 369  rows, 4  columns"
"Infección Respiratoria Aguda Grave Irag Inusitada";2015;"Success";"Success Infección Respiratoria Aguda Grave Irag Inusitada 2015 : 341  rows, 4  columns"
"Infección Respiratoria Aguda Grave Irag Inusitada";2016;"Success";"Success Infección Respiratoria Aguda Grave Irag Inusitada 2016 : 348  rows, 4  columns"
"Infección Respiratoria Aguda Grave Irag Inusitada";2017;"Success";"Success Infección Respiratoria Aguda Grave Irag Inusitada 2017 : 363  rows, 4  columns"
"Infección Respiratoria Aguda Grave Irag Inusitada";2018;"Success";"Success Infección Respiratoria Aguda Grave Irag Inusitada 2018 : 343  rows, 4  columns"
"Infección Respiratoria Aguda Grave Irag Inusitada";2019;"Success";"Success Infección Respiratoria Aguda Grave Irag Inusitada 2019 : 318  rows, 4  columns"
"Infección Respiratoria Aguda Grave Irag Inusitada";2020;"Success";"Success Infección Respiratoria Aguda Grave Irag Inusitada 2020 : 438  rows, 4  columns"
"Infección Respiratoria Aguda Grave Irag Inusitada";2021;"Success";"Success Infección Respiratoria Aguda Grave Irag Inusitada 2021 : 253  rows, 4  columns"
"Infección Respiratoria Aguda Grave Irag Inusitada";2022;"Success";"Success Infección Respiratoria Aguda Grave Irag Inusitada 2022 : 352  rows, 4  columns"
"Intoxicación Por Gases";2010;"Success";"Success Intoxicación Por Gases 2010 : 89  rows, 4  columns"
"Intoxicación Por Gases";2011;"Success";"Success Intoxicación Por Gases 2011 : 210  rows, 4  columns"
"Intoxicación Por Gases";2012;"Success";"Success Intoxicación Por Gases 2012 : 186  rows, 4  columns"
"Intoxicación Por Gases";2013;"Success";"Success Intoxicación Por Gases 2013 : 227  rows, 4  columns"
"Intoxicación Por Gases";2014;"Success";"Success Intoxicación Por Gases 2014 : 243  rows, 4  columns"
"Intoxicación Por Gases";2015;"Success";"Success Intoxicación Por Gases 2015 : 245  rows, 4  columns"
"Intoxicación Por Gases";2016;"Success";"Success Intoxicación Por Gases 2016 : 274  rows, 4  columns"
"Intoxicación Por Gases";2017;"Success";"Success Intoxicación Por Gases 2017 : 279  rows, 4  columns"
"Intoxicación Por Gases";2018;"Success";"Success Intoxicación Por Gases 2018 : 281  rows, 4  columns"
"Intoxicación Por Gases";2019;"Success";"Success Intoxicación Por Gases 2019 : 265  rows, 4  columns"
"Intoxicación Por Gases";2020;"Success";"Success Intoxicación Por Gases 2020 : 191  rows, 4  columns"
"Intoxicación Por Gases";2021;"Success";"Success Intoxicación Por Gases 2021 : 237  rows, 4  columns"
"Intoxicación Por Gases";2022;"Success";"Success Intoxicación Por Gases 2022 : 283  rows, 4  columns"
"Intoxicación Por Medicamentos";2009;"Success";"Success Intoxicación Por Medicamentos 2009 : 498  rows, 4  columns"
"Intoxicación Por Medicamentos";2010;"Success";"Success Intoxicación Por Medicamentos 2010 : 457  rows, 4  columns"
"Intoxicación Por Medicamentos";2011;"Success";"Success Intoxicación Por Medicamentos 2011 : 494  rows, 4  columns"
"Intoxicación Por Medicamentos";2012;"Success";"Success Intoxicación Por Medicamentos 2012 : 470  rows, 4  columns"
"Intoxicación Por Medicamentos";2013;"Success";"Success Intoxicación Por Medicamentos 2013 : 411  rows, 4  columns"
"Intoxicación Por Medicamentos";2014;"Success";"Success Intoxicación Por Medicamentos 2014 : 380  rows, 4  columns"
"Intoxicación Por Medicamentos";2015;"Success";"Success Intoxicación Por Medicamentos 2015 : 403  rows, 4  columns"
"Intoxicación Por Medicamentos";2016;"Success";"Success Intoxicación Por Medicamentos 2016 : 386  rows, 4  columns"
"Intoxicación Por Medicamentos";2017;"Success";"Success Intoxicación Por Medicamentos 2017 : 386  rows, 4  columns"
"Intoxicación Por Medicamentos";2018;"Success";"Success Intoxicación Por Medicamentos 2018 : 1195  rows, 4  columns"
"Intoxicación Por Medicamentos";2019;"Success";"Success Intoxicación Por Medicamentos 2019 : 1330  rows, 4  columns"
"Intoxicación Por Medicamentos";2020;"Success";"Success Intoxicación Por Medicamentos 2020 : 1063  rows, 4  columns"
"Intoxicación Por Medicamentos";2021;"Success";"Success Intoxicación Por Medicamentos 2021 : 689  rows, 4  columns"
"Intoxicación Por Medicamentos";2022;"Success";"Success Intoxicación Por Medicamentos 2022 : 913  rows, 4  columns"
"Intoxicación Por Metales Pesados";2009;"Success";"Success Intoxicación Por Metales Pesados 2009 : 114  rows, 4  columns"
"Intoxicación Por Metales Pesados";2010;"Success";"Success Intoxicación Por Metales Pesados 2010 : 106  rows, 4  columns"
"Intoxicación Por Metales Pesados";2011;"Success";"Success Intoxicación Por Metales Pesados 2011 : 94  rows, 4  columns"
"Intoxicación Por Metales Pesados";2012;"Success";"Success Intoxicación Por Metales Pesados 2012 : 96  rows, 4  columns"
"Intoxicación Por Metales Pesados";2013;"Success";"Success Intoxicación Por Metales Pesados 2013 : 82  rows, 4  columns"
"Intoxicación Por Metales Pesados";2014;"Success";"Success Intoxicación Por Metales Pesados 2014 : 111  rows, 4  columns"
"Intoxicación Por Metales Pesados";2015;"Success";"Success Intoxicación Por Metales Pesados 2015 : 86  rows, 4  columns"
"Intoxicación Por Metales Pesados";2016;"Success";"Success Intoxicación Por Metales Pesados 2016 : 101  rows, 4  columns"
"Intoxicación Por Metales Pesados";2017;"Success";"Success Intoxicación Por Metales Pesados 2017 : 103  rows, 4  columns"
"Intoxicación Por Metales Pesados";2018;"Success";"Success Intoxicación Por Metales Pesados 2018 : 78  rows, 4  columns"
"Intoxicación Por Metales Pesados";2019;"Success";"Success Intoxicación Por Metales Pesados 2019 : 55  rows, 4  columns"
"Intoxicación Por Metales Pesados";2020;"Success";"Success Intoxicación Por Metales Pesados 2020 : 40  rows, 4  columns"
"Intoxicación Por Metales Pesados";2021;"Success";"Success Intoxicación Por Metales Pesados 2021 : 48  rows, 4  columns"
"Intoxicación Por Metales Pesados";2022;"Success";"Success Intoxicación Por Metales Pesados 2022 : 47  rows, 4  columns"
"Intoxicación Por Metanol";2009;"Success";"Success Intoxicación Por Metanol 2009 : 76  rows, 4  columns"
"Intoxicación Por Metanol";2010;"Success";"Success Intoxicación Por Metanol 2010 : 160  rows, 4  columns"
"Intoxicación Por Metanol";2011;"Success";"Success Intoxicación Por Metanol 2011 : 197  rows, 4  columns"
"Intoxicación Por Metanol";2012;"Success";"Success Intoxicación Por Metanol 2012 : 102  rows, 4  columns"
"Intoxicación Por Metanol";2013;"Success";"Success Intoxicación Por Metanol 2013 : 84  rows, 4  columns"
"Intoxicación Por Metanol";2014;"Success";"Success Intoxicación Por Metanol 2014 : 87  rows, 4  columns"
"Intoxicación Por Metanol";2015;"Success";"Success Intoxicación Por Metanol 2015 : 155  rows, 4  columns"
"Intoxicación Por Metanol";2016;"Success";"Success Intoxicación Por Metanol 2016 : 175  rows, 4  columns"
"Intoxicación Por Metanol";2017;"Success";"Success Intoxicación Por Metanol 2017 : 177  rows, 4  columns"
"Intoxicación Por Metanol";2018;"Success";"Success Intoxicación Por Metanol 2018 : 181  rows, 4  columns"
"Intoxicación Por Metanol";2019;"Success";"Success Intoxicación Por Metanol 2019 : 172  rows, 4  columns"
"Intoxicación Por Metanol";2020;"Success";"Success Intoxicación Por Metanol 2020 : 127  rows, 4  columns"
"Intoxicación Por Metanol";2021;"Success";"Success Intoxicación Por Metanol 2021 : 152  rows, 4  columns"
"Intoxicación Por Metanol";2022;"Success";"Success Intoxicación Por Metanol 2022 : 149  rows, 4  columns"
"Intoxicación Por Otras Sustancias Químicas";2012;"Success";"Success Intoxicación Por Otras Sustancias Químicas 2012 : 398  rows, 4  columns"
"Intoxicación Por Otras Sustancias Químicas";2013;"Success";"Success Intoxicación Por Otras Sustancias Químicas 2013 : 381  rows, 4  columns"
"Intoxicación Por Otras Sustancias Químicas";2014;"Success";"Success Intoxicación Por Otras Sustancias Químicas 2014 : 374  rows, 4  columns"
"Intoxicación Por Otras Sustancias Químicas";2015;"Success";"Success Intoxicación Por Otras Sustancias Químicas 2015 : 380  rows, 4  columns"
"Intoxicación Por Otras Sustancias Químicas";2016;"Success";"Success Intoxicación Por Otras Sustancias Químicas 2016 : 370  rows, 4  columns"
"Intoxicación Por Otras Sustancias Químicas";2017;"Success";"Success Intoxicación Por Otras Sustancias Químicas 2017 : 370  rows, 4  columns"
"Intoxicación Por Otras Sustancias Químicas";2018;"Success";"Success Intoxicación Por Otras Sustancias Químicas 2018 : 609  rows, 4  columns"
"Intoxicación Por Otras Sustancias Químicas";2019;"Success";"Success Intoxicación Por Otras Sustancias Químicas 2019 : 603  rows, 4  columns"
"Intoxicación Por Otras Sustancias Químicas";2020;"Success";"Success Intoxicación Por Otras Sustancias Químicas 2020 : 517  rows, 4  columns"
"Intoxicación Por Otras Sustancias Químicas";2021;"Success";"Success Intoxicación Por Otras Sustancias Químicas 2021 : 410  rows, 4  columns"
"Intoxicación Por Otras Sustancias Químicas";2022;"Success";"Success Intoxicación Por Otras Sustancias Químicas 2022 : 425  rows, 4  columns"
"Intoxicación Por Plaguicidas";2007;"Error";"Error limpiar_data_sivigila with  Intoxicación Por Plaguicidas 2007 Error in limpiar_data_sivigila(data_event = data_event): El parametro data_event no debe estar vacio
"
"Intoxicación Por Plaguicidas";2009;"Success";"Success Intoxicación Por Plaguicidas 2009 : 456  rows, 4  columns"
"Intoxicación Por Plaguicidas";2010;"Success";"Success Intoxicación Por Plaguicidas 2010 : 404  rows, 4  columns"
"Intoxicación Por Plaguicidas";2011;"Success";"Success Intoxicación Por Plaguicidas 2011 : 412  rows, 4  columns"
"Intoxicación Por Plaguicidas";2012;"Success";"Success Intoxicación Por Plaguicidas 2012 : 405  rows, 4  columns"
"Intoxicación Por Plaguicidas";2013;"Success";"Success Intoxicación Por Plaguicidas 2013 : 387  rows, 4  columns"
"Intoxicación Por Plaguicidas";2014;"Success";"Success Intoxicación Por Plaguicidas 2014 : 377  rows, 4  columns"
"Intoxicación Por Plaguicidas";2015;"Success";"Success Intoxicación Por Plaguicidas 2015 : 385  rows, 4  columns"
"Intoxicación Por Plaguicidas";2016;"Success";"Success Intoxicación Por Plaguicidas 2016 : 386  rows, 4  columns"
"Intoxicación Por Plaguicidas";2017;"Success";"Success Intoxicación Por Plaguicidas 2017 : 370  rows, 4  columns"
"Intoxicación Por Plaguicidas";2018;"Success";"Success Intoxicación Por Plaguicidas 2018 : 805  rows, 4  columns"
"Intoxicación Por Plaguicidas";2019;"Success";"Success Intoxicación Por Plaguicidas 2019 : 771  rows, 4  columns"
"Intoxicación Por Plaguicidas";2020;"Success";"Success Intoxicación Por Plaguicidas 2020 : 581  rows, 4  columns"
"Intoxicación Por Plaguicidas";2021;"Success";"Success Intoxicación Por Plaguicidas 2021 : 399  rows, 4  columns"
"Intoxicación Por Plaguicidas";2022;"Success";"Success Intoxicación Por Plaguicidas 2022 : 451  rows, 4  columns"
"Intoxicación Por Solventes";2009;"Success";"Success Intoxicación Por Solventes 2009 : 246  rows, 4  columns"
"Intoxicación Por Solventes";2010;"Success";"Success Intoxicación Por Solventes 2010 : 279  rows, 4  columns"
"Intoxicación Por Solventes";2011;"Success";"Success Intoxicación Por Solventes 2011 : 339  rows, 4  columns"
"Intoxicación Por Solventes";2012;"Success";"Success Intoxicación Por Solventes 2012 : 327  rows, 4  columns"
"Intoxicación Por Solventes";2013;"Success";"Success Intoxicación Por Solventes 2013 : 331  rows, 4  columns"
"Intoxicación Por Solventes";2014;"Success";"Success Intoxicación Por Solventes 2014 : 330  rows, 4  columns"
"Intoxicación Por Solventes";2015;"Success";"Success Intoxicación Por Solventes 2015 : 331  rows, 4  columns"
"Intoxicación Por Solventes";2016;"Success";"Success Intoxicación Por Solventes 2016 : 342  rows, 4  columns"
"Intoxicación Por Solventes";2017;"Success";"Success Intoxicación Por Solventes 2017 : 359  rows, 4  columns"
"Intoxicación Por Solventes";2018;"Success";"Success Intoxicación Por Solventes 2018 : 376  rows, 4  columns"
"Intoxicación Por Solventes";2019;"Success";"Success Intoxicación Por Solventes 2019 : 390  rows, 4  columns"
"Intoxicación Por Solventes";2020;"Success";"Success Intoxicación Por Solventes 2020 : 359  rows, 4  columns"
"Intoxicación Por Solventes";2021;"Success";"Success Intoxicación Por Solventes 2021 : 341  rows, 4  columns"
"Intoxicación Por Solventes";2022;"Success";"Success Intoxicación Por Solventes 2022 : 344  rows, 4  columns"
"Intoxicación Por Sustancias Psicoactivas";2010;"Success";"Success Intoxicación Por Sustancias Psicoactivas 2010 : 293  rows, 4  columns"
"Intoxicación Por Sustancias Psicoactivas";2011;"Success";"Success Intoxicación Por Sustancias Psicoactivas 2011 : 405  rows, 4  columns"
"Intoxicación Por Sustancias Psicoactivas";2012;"Success";"Success Intoxicación Por Sustancias Psicoactivas 2012 : 450  rows, 4  columns"
"Intoxicación Por Sustancias Psicoactivas";2013;"Success";"Success Intoxicación Por Sustancias Psicoactivas 2013 : 395  rows, 4  columns"
"Intoxicación Por Sustancias Psicoactivas";2014;"Success";"Success Intoxicación Por Sustancias Psicoactivas 2014 : 373  rows, 4  columns"
"Intoxicación Por Sustancias Psicoactivas";2015;"Success";"Success Intoxicación Por Sustancias Psicoactivas 2015 : 384  rows, 4  columns"
"Intoxicación Por Sustancias Psicoactivas";2016;"Success";"Success Intoxicación Por Sustancias Psicoactivas 2016 : 406  rows, 4  columns"
"Intoxicación Por Sustancias Psicoactivas";2017;"Success";"Success Intoxicación Por Sustancias Psicoactivas 2017 : 379  rows, 4  columns"
"Intoxicación Por Sustancias Psicoactivas";2018;"Success";"Success Intoxicación Por Sustancias Psicoactivas 2018 : 417  rows, 4  columns"
"Intoxicación Por Sustancias Psicoactivas";2019;"Success";"Success Intoxicación Por Sustancias Psicoactivas 2019 : 423  rows, 4  columns"
"Intoxicación Por Sustancias Psicoactivas";2020;"Success";"Success Intoxicación Por Sustancias Psicoactivas 2020 : 408  rows, 4  columns"
"Intoxicación Por Sustancias Psicoactivas";2021;"Success";"Success Intoxicación Por Sustancias Psicoactivas 2021 : 376  rows, 4  columns"
"Intoxicación Por Sustancias Psicoactivas";2022;"Success";"Success Intoxicación Por Sustancias Psicoactivas 2022 : 373  rows, 4  columns"
"Leishmaniasis Cutánea";2011;"Success";"Success Leishmaniasis Cutánea 2011 : 614  rows, 4  columns"
"Leishmaniasis Cutánea";2012;"Success";"Success Leishmaniasis Cutánea 2012 : 467  rows, 4  columns"
"Leishmaniasis Cutánea";2013;"Success";"Success Leishmaniasis Cutánea 2013 : 453  rows, 4  columns"
"Leishmaniasis Cutánea";2014;"Success";"Success Leishmaniasis Cutánea 2014 : 430  rows, 4  columns"
"Leishmaniasis Cutánea";2015;"Success";"Success Leishmaniasis Cutánea 2015 : 463  rows, 4  columns"
"Leishmaniasis Cutánea";2016;"Success";"Success Leishmaniasis Cutánea 2016 : 423  rows, 4  columns"
"Leishmaniasis Cutánea";2017;"Success";"Success Leishmaniasis Cutánea 2017 : 408  rows, 4  columns"
"Leishmaniasis Cutánea";2018;"Success";"Success Leishmaniasis Cutánea 2018 : 383  rows, 4  columns"
"Leishmaniasis Cutánea";2019;"Success";"Success Leishmaniasis Cutánea 2019 : 377  rows, 4  columns"
"Leishmaniasis Cutánea";2020;"Success";"Success Leishmaniasis Cutánea 2020 : 389  rows, 4  columns"
"Leishmaniasis Cutánea";2021;"Success";"Success Leishmaniasis Cutánea 2021 : 400  rows, 4  columns"
"Leishmaniasis Cutánea";2022;"Success";"Success Leishmaniasis Cutánea 2022 : 385  rows, 4  columns"
"Leishmaniasis Mucosa";2009;"Success";"Success Leishmaniasis Mucosa 2009 : 81  rows, 4  columns"
"Leishmaniasis Mucosa";2010;"Success";"Success Leishmaniasis Mucosa 2010 : 105  rows, 4  columns"
"Leishmaniasis Mucosa";2011;"Success";"Success Leishmaniasis Mucosa 2011 : 116  rows, 4  columns"
"Leishmaniasis Mucosa";2012;"Success";"Success Leishmaniasis Mucosa 2012 : 115  rows, 4  columns"
"Leishmaniasis Mucosa";2013;"Success";"Success Leishmaniasis Mucosa 2013 : 88  rows, 4  columns"
"Leishmaniasis Mucosa";2014;"Success";"Success Leishmaniasis Mucosa 2014 : 96  rows, 4  columns"
"Leishmaniasis Mucosa";2015;"Success";"Success Leishmaniasis Mucosa 2015 : 70  rows, 4  columns"
"Leishmaniasis Mucosa";2016;"Success";"Success Leishmaniasis Mucosa 2016 : 106  rows, 4  columns"
"Leishmaniasis Mucosa";2017;"Success";"Success Leishmaniasis Mucosa 2017 : 57  rows, 4  columns"
"Leishmaniasis Mucosa";2018;"Success";"Success Leishmaniasis Mucosa 2018 : 57  rows, 4  columns"
"Leishmaniasis Mucosa";2019;"Success";"Success Leishmaniasis Mucosa 2019 : 49  rows, 4  columns"
"Leishmaniasis Mucosa";2020;"Success";"Success Leishmaniasis Mucosa 2020 : 40  rows, 4  columns"
"Leishmaniasis Mucosa";2021;"Success";"Success Leishmaniasis Mucosa 2021 : 60  rows, 4  columns"
"Leishmaniasis Mucosa";2022;"Success";"Success Leishmaniasis Mucosa 2022 : 69  rows, 4  columns"
"Leishmaniasis Visceral";2009;"Success";"Success Leishmaniasis Visceral 2009 : 31  rows, 4  columns"
"Leishmaniasis Visceral";2010;"Success";"Success Leishmaniasis Visceral 2010 : 24  rows, 4  columns"
"Leishmaniasis Visceral";2011;"Success";"Success Leishmaniasis Visceral 2011 : 12  rows, 4  columns"
"Leishmaniasis Visceral";2012;"Success";"Success Leishmaniasis Visceral 2012 : 9  rows, 4  columns"
"Leishmaniasis Visceral";2013;"Success";"Success Leishmaniasis Visceral 2013 : 13  rows, 4  columns"
"Leishmaniasis Visceral";2014;"Success";"Success Leishmaniasis Visceral 2014 : 26  rows, 4  columns"
"Leishmaniasis Visceral";2015;"Success";"Success Leishmaniasis Visceral 2015 : 20  rows, 4  columns"
"Leishmaniasis Visceral";2016;"Success";"Success Leishmaniasis Visceral 2016 : 33  rows, 4  columns"
"Leishmaniasis Visceral";2017;"Success";"Success Leishmaniasis Visceral 2017 : 27  rows, 4  columns"
"Leishmaniasis Visceral";2018;"Success";"Success Leishmaniasis Visceral 2018 : 14  rows, 4  columns"
"Leishmaniasis Visceral";2019;"Success";"Success Leishmaniasis Visceral 2019 : 14  rows, 4  columns"
"Leishmaniasis Visceral";2020;"Success";"Success Leishmaniasis Visceral 2020 : 8  rows, 4  columns"
"Leishmaniasis Visceral";2021;"Success";"Success Leishmaniasis Visceral 2021 : 6  rows, 4  columns"
"Leishmaniasis Visceral";2022;"Success";"Success Leishmaniasis Visceral 2022 : 13  rows, 4  columns"
"Lepra";2009;"Success";"Success Lepra 2009 : 187  rows, 4  columns"
"Lepra";2010;"Success";"Success Lepra 2010 : 181  rows, 4  columns"
"Lepra";2011;"Success";"Success Lepra 2011 : 184  rows, 4  columns"
"Lepra";2012;"Success";"Success Lepra 2012 : 228  rows, 4  columns"
"Lepra";2013;"Success";"Success Lepra 2013 : 221  rows, 4  columns"
"Lepra";2014;"Success";"Success Lepra 2014 : 189  rows, 4  columns"
"Lepra";2015;"Success";"Success Lepra 2015 : 156  rows, 4  columns"
"Lepra";2016;"Success";"Success Lepra 2016 : 145  rows, 4  columns"
"Lepra";2017;"Success";"Success Lepra 2017 : 177  rows, 4  columns"
"Lepra";2018;"Success";"Success Lepra 2018 : 158  rows, 4  columns"
"Lepra";2019;"Success";"Success Lepra 2019 : 162  rows, 4  columns"
"Lepra";2020;"Success";"Success Lepra 2020 : 89  rows, 4  columns"
"Lepra";2021;"Success";"Success Lepra 2021 : 149  rows, 4  columns"
"Lepra";2022;"Success";"Success Lepra 2022 : 131  rows, 4  columns"
"Leptospirosis";2009;"Success";"Success Leptospirosis 2009 : 410  rows, 4  columns"
"Leptospirosis";2010;"Success";"Success Leptospirosis 2010 : 374  rows, 4  columns"
"Leptospirosis";2011;"Success";"Success Leptospirosis 2011 : 379  rows, 4  columns"
"Leptospirosis";2012;"Success";"Success Leptospirosis 2012 : 351  rows, 4  columns"
"Leptospirosis";2013;"Success";"Success Leptospirosis 2013 : 325  rows, 4  columns"
"Leptospirosis";2014;"Success";"Success Leptospirosis 2014 : 328  rows, 4  columns"
"Leptospirosis";2015;"Success";"Success Leptospirosis 2015 : 311  rows, 4  columns"
"Leptospirosis";2016;"Success";"Success Leptospirosis 2016 : 294  rows, 4  columns"
"Leptospirosis";2017;"Success";"Success Leptospirosis 2017 : 303  rows, 4  columns"
