"Desease";"Año";"Dpto";"Mpio";"Resultado";"Mensaje"
"Accidente Ofídico";"2010";"CAUCA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2010";"CALDAS";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2010";"CAQUETA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2010";"CESAR";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2010";"CORDOBA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2010";"CUNDINAMARCA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2010";"CHOCO";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2010";"HUILA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2010";"LA GUAJIRA";"";"Error";"El departamento o municipio ingresado no existe"
"Accidente Ofídico";"2010";"MAGDALENA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2010";"META";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2010";"NARIÑO";"";"Error";"El departamento o municipio ingresado no existe"
"Accidente Ofídico";"2010";"NORTE DE SANTANDER";"";"Error";"El departamento o municipio ingresado no existe"
"Accidente Ofídico";"2010";"QUINDIO";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2010";"RISARALDA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2010";"SANTANDER";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2010";"SUCRE";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2010";"TOLIMA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2010";"VALLE DEL CAUCA";"";"Error";"El departamento o municipio ingresado no existe"
"Accidente Ofídico";"2010";"ARAUCA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2010";"CASANARE";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2010";"PUTUMAYO";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2010";"SAN ANDRES";"";"Error";"El departamento o municipio ingresado no existe"
"Accidente Ofídico";"2010";"AMAZONAS";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2010";"GUAINIA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2010";"GUAVIARE";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2010";"VAUPES";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2010";"VICHADA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2011";"ANTIOQUIA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2011";"ATLANTICO";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2011";"BOGOTA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2011";"BOLIVAR";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2011";"BOYACA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2011";"CAUCA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2011";"CALDAS";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2011";"CAQUETA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2011";"CESAR";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2011";"CORDOBA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2011";"CUNDINAMARCA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2011";"CHOCO";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2011";"HUILA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2011";"LA GUAJIRA";"";"Error";"El departamento o municipio ingresado no existe"
"Accidente Ofídico";"2011";"MAGDALENA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2011";"META";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2011";"NARIÑO";"";"Error";"El departamento o municipio ingresado no existe"
"Accidente Ofídico";"2011";"NORTE DE SANTANDER";"";"Error";"El departamento o municipio ingresado no existe"
"Accidente Ofídico";"2011";"QUINDIO";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2011";"RISARALDA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2011";"SANTANDER";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2011";"SUCRE";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2011";"TOLIMA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2011";"VALLE DEL CAUCA";"";"Error";"El departamento o municipio ingresado no existe"
"Accidente Ofídico";"2011";"ARAUCA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2011";"CASANARE";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2011";"PUTUMAYO";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2011";"SAN ANDRES";"";"Error";"El departamento o municipio ingresado no existe"
"Accidente Ofídico";"2011";"AMAZONAS";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2011";"GUAINIA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2011";"GUAVIARE";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2011";"VAUPES";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2011";"VICHADA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2012";"ANTIOQUIA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2012";"ATLANTICO";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2012";"BOGOTA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2012";"BOLIVAR";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2012";"BOYACA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2012";"CAUCA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2012";"CALDAS";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2012";"CAQUETA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2012";"CESAR";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2012";"CORDOBA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2012";"CUNDINAMARCA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2012";"CHOCO";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2012";"HUILA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2012";"LA GUAJIRA";"";"Error";"El departamento o municipio ingresado no existe"
"Accidente Ofídico";"2012";"MAGDALENA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2012";"META";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2012";"NARIÑO";"";"Error";"El departamento o municipio ingresado no existe"
"Accidente Ofídico";"2012";"NORTE DE SANTANDER";"";"Error";"El departamento o municipio ingresado no existe"
"Accidente Ofídico";"2012";"QUINDIO";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2012";"RISARALDA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2012";"SANTANDER";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2012";"SUCRE";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2012";"TOLIMA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2012";"VALLE DEL CAUCA";"";"Error";"El departamento o municipio ingresado no existe"
"Accidente Ofídico";"2012";"ARAUCA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2012";"CASANARE";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2012";"PUTUMAYO";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2012";"SAN ANDRES";"";"Error";"El departamento o municipio ingresado no existe"
"Accidente Ofídico";"2012";"AMAZONAS";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2012";"GUAINIA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2012";"GUAVIARE";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2012";"VAUPES";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2012";"VICHADA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2013";"ANTIOQUIA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2013";"ATLANTICO";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2013";"BOGOTA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2013";"BOLIVAR";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2013";"BOYACA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2013";"CAUCA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2013";"CALDAS";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2013";"CAQUETA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2013";"CESAR";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2013";"CORDOBA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2013";"CUNDINAMARCA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2013";"CHOCO";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2013";"HUILA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2013";"LA GUAJIRA";"";"Error";"El departamento o municipio ingresado no existe"
"Accidente Ofídico";"2013";"MAGDALENA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2013";"META";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2013";"NARIÑO";"";"Error";"El departamento o municipio ingresado no existe"
"Accidente Ofídico";"2013";"NORTE DE SANTANDER";"";"Error";"El departamento o municipio ingresado no existe"
"Accidente Ofídico";"2013";"QUINDIO";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2013";"RISARALDA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2013";"SANTANDER";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2013";"SUCRE";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2013";"TOLIMA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2013";"VALLE DEL CAUCA";"";"Error";"El departamento o municipio ingresado no existe"
"Accidente Ofídico";"2013";"ARAUCA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2013";"CASANARE";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2013";"PUTUMAYO";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2013";"SAN ANDRES";"";"Error";"El departamento o municipio ingresado no existe"
"Accidente Ofídico";"2013";"AMAZONAS";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2013";"GUAINIA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2013";"GUAVIARE";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2013";"VAUPES";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2013";"VICHADA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2014";"ANTIOQUIA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2014";"ATLANTICO";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2014";"BOGOTA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2014";"BOLIVAR";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2014";"BOYACA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2014";"CAUCA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2014";"CALDAS";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2014";"CAQUETA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2014";"CESAR";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2014";"CORDOBA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2014";"CUNDINAMARCA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2014";"CHOCO";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2014";"HUILA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2014";"LA GUAJIRA";"";"Error";"El departamento o municipio ingresado no existe"
"Accidente Ofídico";"2014";"MAGDALENA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2014";"META";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2014";"NARIÑO";"";"Error";"El departamento o municipio ingresado no existe"
"Accidente Ofídico";"2014";"NORTE DE SANTANDER";"";"Error";"El departamento o municipio ingresado no existe"
"Accidente Ofídico";"2014";"QUINDIO";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2014";"RISARALDA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2014";"SANTANDER";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2014";"SUCRE";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2014";"TOLIMA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2014";"VALLE DEL CAUCA";"";"Error";"El departamento o municipio ingresado no existe"
"Accidente Ofídico";"2014";"ARAUCA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2014";"CASANARE";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2014";"PUTUMAYO";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2014";"SAN ANDRES";"";"Error";"El departamento o municipio ingresado no existe"
"Accidente Ofídico";"2014";"AMAZONAS";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2014";"GUAINIA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2014";"GUAVIARE";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2014";"VAUPES";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2014";"VICHADA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2015";"ANTIOQUIA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2015";"ATLANTICO";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2015";"BOGOTA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2015";"BOLIVAR";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2015";"BOYACA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2015";"CAUCA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2015";"CALDAS";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2015";"CAQUETA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2015";"CESAR";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2015";"CORDOBA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2015";"CUNDINAMARCA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2015";"CHOCO";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2015";"HUILA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2015";"LA GUAJIRA";"";"Error";"El departamento o municipio ingresado no existe"
"Accidente Ofídico";"2015";"MAGDALENA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2015";"META";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2015";"NARIÑO";"";"Error";"El departamento o municipio ingresado no existe"
"Accidente Ofídico";"2015";"NORTE DE SANTANDER";"";"Error";"El departamento o municipio ingresado no existe"
"Accidente Ofídico";"2015";"QUINDIO";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2015";"RISARALDA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2015";"SANTANDER";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2015";"SUCRE";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2015";"TOLIMA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2015";"VALLE DEL CAUCA";"";"Error";"El departamento o municipio ingresado no existe"
"Accidente Ofídico";"2015";"ARAUCA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2015";"CASANARE";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2015";"PUTUMAYO";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2015";"SAN ANDRES";"";"Error";"El departamento o municipio ingresado no existe"
"Accidente Ofídico";"2015";"AMAZONAS";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2015";"GUAINIA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2015";"GUAVIARE";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2015";"VAUPES";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2015";"VICHADA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2016";"ANTIOQUIA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2016";"ATLANTICO";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2016";"BOGOTA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2016";"BOLIVAR";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2016";"BOYACA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2016";"CAUCA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2016";"CALDAS";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2016";"CAQUETA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2016";"CESAR";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2016";"CORDOBA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2016";"CUNDINAMARCA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2016";"CHOCO";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2016";"HUILA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2016";"LA GUAJIRA";"";"Error";"El departamento o municipio ingresado no existe"
"Accidente Ofídico";"2016";"MAGDALENA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2016";"META";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2016";"NARIÑO";"";"Error";"El departamento o municipio ingresado no existe"
"Accidente Ofídico";"2016";"NORTE DE SANTANDER";"";"Error";"El departamento o municipio ingresado no existe"
"Accidente Ofídico";"2016";"QUINDIO";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2016";"RISARALDA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2016";"SANTANDER";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2016";"SUCRE";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2016";"TOLIMA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2016";"VALLE DEL CAUCA";"";"Error";"El departamento o municipio ingresado no existe"
"Accidente Ofídico";"2016";"ARAUCA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2016";"CASANARE";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2016";"PUTUMAYO";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2016";"SAN ANDRES";"";"Error";"El departamento o municipio ingresado no existe"
"Accidente Ofídico";"2016";"AMAZONAS";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2016";"GUAINIA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2016";"GUAVIARE";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2016";"VAUPES";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2016";"VICHADA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2017";"ANTIOQUIA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2017";"ATLANTICO";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2017";"BOGOTA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2017";"BOLIVAR";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2017";"BOYACA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2017";"CAUCA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2017";"CALDAS";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
